premises_name, suburb, licence_no, address_1, address_2, postcode, long, licence_category, objectid, lga, lat
MERCURE GRAND HOTEL ON SWANSTON,MELBOURNE,33120320,191-205 SWANSTON STREET,null,3000,144.9650201,Late night (general) Licence,18,MELBOURNE,-37.81299177
BLUESTONE RESTAURANT BAR,MELBOURNE,32204202,349 FLINDERS LANE,null,3000,144.962839,On-Premises Licence,26,MELBOURNE,-37.817809
THE MINT RESTAURANT AND WINE BAR,MELBOURNE,31950664,280-318 WILLIAM STREET,null,3000,144.9569178,Late night (general) Licence,161,MELBOURNE,-37.81221735
BACK POCKET LITTLE LONSDALE,MELBOURNE,32255716,SHOP 3,535 LITTLE LONSDALE STREET,3000,144.9561532,Restaurant and cafe Licence,185,MELBOURNE,-37.8138262
BONDSTORE,SOUTHBANK,32254906,GND FLOOR 33 SOUTHBANK BLVD,null,3006,144.9637957,Restaurant and cafe Licence,191,MELBOURNE,-37.8218593
null,MELBOURNE,32255520,41-43 BLOCK PLACE,null,3000,144.9642428,Restaurant and cafe Licence,193,MELBOURNE,-37.81517396
ALL 4 U CAFE & BAR,MELBOURNE,32258023,536 LITTLE LONSDALE STREET,null,3000,144.9532721,Restaurant and cafe Licence,204,MELBOURNE,-37.81361479
THE WESTIN MELBOURNE,MELBOURNE,31950567,205 COLLINS STREET,null,3000,144.9672758,Late night (general) Licence,211,MELBOURNE,-37.81548755
THE QUARTER CAFE,MELBOURNE,32255295,27 DEGRAVES STREET,null,3000,144.9654783,Restaurant and cafe Licence,212,MELBOURNE,-37.81704274
ROBOT SUSHI & BAR,MELBOURNE,32258196,12 BLIGH PLACE,null,3000,144.963903,Late night (on-premises) Licence,220,MELBOURNE,-37.81725205
TINA'S NOODLE KITCHEN,MELBOURNE,32255368,237 SWANSTON STREET,null,3000,144.964851,Restaurant and cafe Licence,227,MELBOURNE,-37.812444
LANES EDGE CAFE & BAR,MELBOURNE,32255457,39 BOURKE STREET,null,3000,144.9720579,Restaurant and cafe Licence,241,MELBOURNE,-37.81186633
GRASSHOPPERS FEAST,MELBOURNE,32255596,SHOPS 13 & 14 THE CAUSEWAY LANE,323 BOURKE STREET,3000,144.9643876,Restaurant and cafe Licence,251,MELBOURNE,-37.81412219
SICHUAN HOUSE,MELBOURNE,32255782,GROUND FLOOR,22-26 CORRS LANE,3000,144.9683215,Restaurant and cafe Licence,261,MELBOURNE,-37.81100886
MELBOURNE HWARO BBQ RESTAURANT,MELBOURNE,32256225,562-566 LITTLE BOURKE STREET,null,3000,144.9557028,Restaurant and cafe Licence,291,MELBOURNE,-37.81515861
SPQR,MELBOURNE,32051552,SHOP 2,416 QUEEN STREET,3000,144.958275,Packaged Liquor Licence,314,MELBOURNE,-37.809095
DON DON,MELBOURNE,32258188,SHOPS 5 & 6 340 LITTLE LONSDALE ST,null,3000,144.9595447,Restaurant and cafe Licence,343,MELBOURNE,-37.81184318
OLD CRYSTAL JADE,MELBOURNE,32256916,3-5 WARATAH PLACE,null,3000,144.9670521,Restaurant and cafe Licence,347,MELBOURNE,-37.81173494
OLDTOWN KOPITIAM,MELBOURNE,32257190,GROUND FLOOR,193-195 LITTLE BOURKE STREET,3000,144.9668228,Restaurant and cafe Licence,358,MELBOURNE,-37.81222663
THE KEY CLUB,MELBOURNE,31950737,LEVEL 2,117-121 LONSDALE STREET,3000,144.9687984,Late night (general) Licence,363,MELBOURNE,-37.81060255
THE AUSTRALIAN CLUB,MELBOURNE,36053629,110 WILLIAM STREET,null,3000,144.9589951,Limited Licence,376,MELBOURNE,-37.81680434
THE EUROPEAN,MELBOURNE,31950761,159-161 SPRING STREET,null,3000,144.972605,Late night (general) Licence,380,MELBOURNE,-37.810956
QUAY WEST SUITES,SOUTHBANK,36053815,26 SOUTHGATE AVENUE,SOUTHGATE,3006,144.9672864,Limited Licence,394,MELBOURNE,-37.82034446
PINOT NOW & INTELLIGENT WINE,WEST MELBOURNE,33751325,451 KING STREET,null,3003,144.9522837,Pre-retail Licence,401,MELBOURNE,-37.80961356
TEMPO BAR,MELBOURNE,32258489,SHOP 8,250 FLINDERS STREET,3000,144.9660483,Restaurant and cafe Licence,418,MELBOURNE,-37.81759185
PINOT NOW & INTELLIGENT WINE,WEST MELBOURNE,36053742,451 KING STREET,null,3003,144.9522837,Limited Licence,421,MELBOURNE,-37.80961356
STROZZI,MELBOURNE,32259354,333 COLLINS STREET,null,3000,144.9631669,Restaurant and cafe Licence,434,MELBOURNE,-37.81670538
PEPPERONI'S,MELBOURNE,32257734,7-9A ELIZABETH STREET,null,3000,144.964543,Restaurant and cafe Licence,448,MELBOURNE,-37.8178917
KICKS,MELBOURNE,31950999,450 ELIZABETH STREET,null,3000,144.9607272,Late night (general) Licence,475,MELBOURNE,-37.80835425
CUPANDA KITCHEN,MELBOURNE,32257792,106 A'BECKETT STREET,null,3000,144.960046,Restaurant and cafe Licence,476,MELBOURNE,-37.809286
CAFE INTIMO,MELBOURNE,32257946,439-441 LITTLE COLLINS STREET,null,3000,144.9601714,Restaurant and cafe Licence,496,MELBOURNE,-37.81635124
MANTRA ON RUSSELL,MELBOURNE,31950818,210 - 222 RUSSELL STREET,null,3000,144.967701,General Licence,507,MELBOURNE,-37.811326
BOND BAR,MELBOURNE,32260193,16-24 BOND STREET,null,3000,144.9629222,Late night (on-premises) Licence,515,MELBOURNE,-37.81817005
BAR HUMBUG,MELBOURNE,32258633,586 LITTLE BOURKE STREET,null,3000,144.9549791,On-Premises Licence,527,MELBOURNE,-37.81537385
PHO NUNG,MELBOURNE,32258691,530 LITTLE COLLINS STREET,null,3000,144.9571439,Restaurant and cafe Licence,529,MELBOURNE,-37.81690971
THE MESS HALL,MELBOURNE,32258421,51 BOURKE STREET,null,3000,144.971771,Restaurant and cafe Licence,540,MELBOURNE,-37.811969
YOYO GI,MELBOURNE,32259281,211-213 SWANSTON STREET,null,3000,144.9650449,Restaurant and cafe Licence,545,MELBOURNE,-37.81285378
TEA HOUSE AT CHINATOWN AUTHENTIC CHINESE CUISINE,MELBOURNE,32258358,11-17 COHEN PLACE,null,3000,144.9690343,On-Premises Licence,558,MELBOURNE,-37.81099075
MIZNON ( AUSTRALIA),MELBOURNE,32261026,BASEMENT AND GROUND FLOOR,59-61 HARDWARE STREET,3000,144.9609749,Restaurant and cafe Licence,573,MELBOURNE,-37.81338714
NAMA NAMA AND HIHOU,MELBOURNE,31951018,31 SPRING STREET,null,3000,144.974164,General Licence,592,MELBOURNE,-37.814523
BOILERMAKER HOUSE,MELBOURNE,32261220,209-211 LONSDALE STREET,null,3000,144.966222,Late night (on-premises) Licence,599,MELBOURNE,-37.811351
FAD GALLERY,MELBOURNE,32259265,14 CORRS LANE,null,3000,144.9684286,On-Premises Licence,608,MELBOURNE,-37.81124503
TREASURY ON COLLINS,MELBOURNE,31950923,394 COLLINS STREET,null,3000,144.9611835,General Licence,609,MELBOURNE,-37.81681896
CAFE SEGOVIA,MELBOURNE,32260143,34 BLOCK PLACE,null,3000,144.9643713,Restaurant and cafe Licence,613,MELBOURNE,-37.81526191
SOL Y VINO,MELBOURNE,36133194,14 MEYERS PLACE,null,3000,144.9724025,Limited Licence,1966,MELBOURNE,-37.8122819
CAFE ANDIAMO,MELBOURNE,32259613,36-38 DEGRAVES STREET,null,3000,144.9658414,Restaurant and cafe Licence,647,MELBOURNE,-37.81694088
THE GEORGE ON COLLINS,MELBOURNE,31951123,162-168 COLLINS STREET,null,3000,144.9680491,Late night (general) Licence,651,MELBOURNE,-37.81482701
IGA EXPRESS SUPERMARKET,SOUTHBANK,32052168,89 CITY ROAD,null,3006,144.9650274,Packaged Liquor Licence,657,MELBOURNE,-37.82244079
PRONTO ON FLINDERS,MELBOURNE,32259875,335 FLINDERS LANE,null,3000,144.9631622,Restaurant and cafe Licence,675,MELBOURNE,-37.8177056
HIBACHI JAPANESE GRILL,MELBOURNE,32260703,230 KING STREET,null,3000,144.9552569,Restaurant and cafe Licence,726,MELBOURNE,-37.8147749
MONASH UNIVERSITY CONFERENCE CENTRE,MELBOURNE,32260745,LEVEL 7/30 COLLINS STREET,null,3000,144.9725008,On-Premises Licence,745,MELBOURNE,-37.81353214
SEMPRE PIZZA & CALZONE,MELBOURNE,32261288,49 BOURKE STREET,null,3000,144.971882,On-Premises Licence,751,MELBOURNE,-37.811914
LUPINO,MELBOURNE,32260999,39-41 LITTLE COLLINS STREET,null,3000,144.9723847,Late night (on-premises) Licence,765,MELBOURNE,-37.81279116
THE BANK ON COLLINS,MELBOURNE,31951076,GROUND FLOOR,394 COLLINS STREET,3000,144.9611835,General Licence,776,MELBOURNE,-37.81681896
null,MELBOURNE,36057445,516 ELIZABETH STREET,null,3000,144.9600735,Limited Licence,812,MELBOURNE,-37.80692808
SCHNITZ - 203 ELIZABETH ST,MELBOURNE,32261864,SHOP 1,203-207 ELIZABETH STREET,3000,144.96262,Restaurant and cafe Licence,813,MELBOURNE,-37.813668
DARE1,MELBOURNE,32262064,SHOP 2,308 LITTLE LONSDALE STREET,3000,144.960331,On-Premises Licence,847,MELBOURNE,-37.811611
PLATFORM,MELBOURNE,31951474,"VAULTS 7 & 8, BANANA ALLEY VAULTS",FLINDERS STREET,3000,144.962267,Late night (general) Licence,850,MELBOURNE,-37.819451
SOPRANOS BAR & PIZZERIA ON SOUTHBANK,SOUTHBANK,32261602,SHOPS 9-11,89-91 CITY ROAD,3006,144.9650274,Restaurant and cafe Licence,861,MELBOURNE,-37.82244079
STAR CITY,MELBOURNE,32052663,SHOP 3 & 4,189-195 EXHIBITION STREET,3000,144.969925,Packaged Liquor Licence,897,MELBOURNE,-37.811317
UBAR MELBOURNE,MELBOURNE,32263688,8 SPENCER STREET,null,3000,144.9554552,Late night (on-premises) Licence,905,MELBOURNE,-37.82076214
THE CROFT INSTITUTE MELBOURNE,MELBOURNE,32263426,21-25 CROFT ALLEY,null,3000,144.969092,Late night (on-premises) Licence,911,MELBOURNE,-37.812055
DOUBLETREE BY HILTON MELBOURNE - FLINDERS STREET,MELBOURNE,32268175,270-272 FLINDERS STREET,null,3000,144.9654121,On-Premises Licence,934,MELBOURNE,-37.81783243
LA LA LAND - THE MELBOURNE ROOM,MELBOURNE,32262983,1/391 LITTLE LONSDALE STREET,null,3000,144.960324,Late night (on-premises) Licence,941,MELBOURNE,-37.81186188
COOKIE,MELBOURNE,32263353,1ST FLOOR,248-258 SWANSTON STREET,3000,144.9652061,Late night (on-premises) Licence,978,MELBOURNE,-37.8119928
DOUBLE HAPPINESS BAR,MELBOURNE,32266288,GROUND FLOOR,21 LIVERPOOL STREET,3000,144.97127,Late night (on-premises) Licence,982,MELBOURNE,-37.811185
MASSI VECCHIA OSTERIA E CAFE,MELBOURNE,31951335,SHOP 4/422 COLLINS STREET,null,3000,144.960121,General Licence,989,MELBOURNE,-37.81713735
SUNG'S KITCHEN,MELBOURNE,32263581,118 FRANKLIN STREET,null,3000,144.959008,Restaurant and cafe Licence,1007,MELBOURNE,-37.808357
THE DRUNKEN POET,WEST MELBOURNE,32265957,65 PEEL STREET,null,3003,144.955503,On-Premises Licence,1008,MELBOURNE,-37.80667756
MANTRA SOUTHBANK,SOUTHBANK,31951199,"GROUND (PART), LEVELS 2, 5-13 & 18",31 CITY ROAD,3006,144.9668458,General Licence,1012,MELBOURNE,-37.82162225
CAFE FRAIS BLIGH PLACE,MELBOURNE,32262535,"SHOP 5, 10 BLIGH PLACE",null,3000,144.963903,Restaurant and cafe Licence,1029,MELBOURNE,-37.81725205
THE TRUST,MELBOURNE,32264163,407 FLINDERS LANE,null,3000,144.960479,On-Premises Licence,1033,MELBOURNE,-37.818652
ADINA APARTMENT HOTEL MELBOURNE ON FLINDERS,MELBOURNE,36060197,88 FLINDERS STREET,null,3000,144.9717981,Limited Licence,1034,MELBOURNE,-37.81596223
SAPORITO CAFE BAR GRILL,SOUTHBANK,32262551,16 KAVANAGH STREET,null,3006,144.9663706,Restaurant and cafe Licence,1044,MELBOURNE,-37.82271426
SAEMAUL MELBOURNE,MELBOURNE,31951204,523-525 LITTLE LONSDALE STREET,null,3000,144.9563509,General Licence,1062,MELBOURNE,-37.81300055
IL SOLE,MELBOURNE,32262967,585 LATROBE STREET,null,3000,144.9518268,Restaurant and cafe Licence,1105,MELBOURNE,-37.81327806
IL SOLE,MELBOURNE,36060294,585 LATROBE STREET,null,3000,144.9518268,Limited Licence,1106,MELBOURNE,-37.81327806
LUSTRE BAR,MELBOURNE,32264147,"SHOP 4A, CENTRE PLACE","LEVEL 1, 252 FLINDERS LANE",3000,144.9656432,Late night (on-premises) Licence,1120,MELBOURNE,-37.81671215
"THE DANISH CLUB \DANNEBROG\""""",MELBOURNE,36064696,428 LITTLE BOURKE STREET,LEVEL 3,3000,144.95973,Limited Licence,1125,MELBOURNE,-37.813919
SCHNITZ,MELBOURNE,31951694,QS002 QV MELBOURNE,CNR SWANSTON AND LONSDALE STREETS,3000,144.9658794,General Licence,1134,MELBOURNE,-37.8110067
TOFWD THE ORGANIC FOOD AND WINE DELI,MELBOURNE,36061884,28 DEGRAVES STREET,null,3000,144.9658414,Limited Licence,1137,MELBOURNE,-37.81694088
NEW GUERNICA,MELBOURNE,32264155,2ND FLOOR,318-322 LITTLE COLLINS STREET,3000,144.9640779,Late night (on-premises) Licence,1147,MELBOURNE,-37.81497285
RICE PAPER SISTER,MELBOURNE,32264294,13-15 HARDWARE LANE,null,3000,144.9614038,On-Premises Licence,1153,MELBOURNE,-37.81431376
TRANSPORT HOTEL,MELBOURNE,31951597,"T024, FEDERATION SQUARE",CORNER FLINDERS & SWANSTON STREETS,3000,144.968913,Late night (general) Licence,1161,MELBOURNE,-37.818458
BEER DE LUXE,MELBOURNE,31951416,"L1 T003, LG T003, T006C","FEDERATION SQUARE, FLINDERS STREET",3000,144.969151,Late night (general) Licence,1162,MELBOURNE,-37.816789
CHOCOLATE BUDDHA,MELBOURNE,32267721,"T102, FEDERATION SQUARE",CORNER FLINDERS & SWANSTON STREETS,3000,144.9688154,Restaurant and cafe Licence,1163,MELBOURNE,-37.8177618
TIME OUT CAFE,MELBOURNE,32267535,"T017A, FEDERATION SQUARE",CORNER FLINDERS & SWANSTON STREETS,3000,144.9688154,On-Premises Licence,1164,MELBOURNE,-37.8177618
THE MEATBALL & WINE BAR,MELBOURNE,36129886,135 FLINDERS LANE,null,3000,144.9701368,Limited Licence,1200,MELBOURNE,-37.81568341
HOPHAUS,SOUTHBANK,32315786,"SHOP MR05, 3 SOUTHGATE AVENUE",null,3006,144.9662773,On-Premises Licence,1217,MELBOURNE,-37.8206056
ARMADA IMPORTS,MELBOURNE,33763746,103 LONSDALE STREET,null,3000,144.9692431,Pre-retail Licence,1248,MELBOURNE,-37.81045533
AUNTY FRANKLEE,MELBOURNE,32314748,205-207 RUSSELL STREET,null,3000,144.967314,Restaurant and cafe Licence,1256,MELBOURNE,-37.81171243
null,MELBOURNE,32314730,"SHOP 2, 212 KING STREET",null,3000,144.9553642,Restaurant and cafe Licence,1271,MELBOURNE,-37.81500205
BROTHER THOMAS CAFE,MELBOURNE,32315744,RETAIL TENANCY 2,330 WILLIAM STREET,3000,144.9564237,On-Premises Licence,1315,MELBOURNE,-37.81129506
KOOKS & CO,MELBOURNE,36129878,LEVEL 4,125 FLINDERS LANE,3000,144.9703536,Limited Licence,1321,MELBOURNE,-37.81561291
SUPER NORMAL,MELBOURNE,32318873,171 COLLINS STREET,null,3000,144.9681537,Restaurant and cafe Licence,1337,MELBOURNE,-37.81522713
FUKU RYU,MELBOURNE,32315207,LEVEL 1 & 2,22 CORRS LANE,3000,144.9683372,Restaurant and cafe Licence,1344,MELBOURNE,-37.81096543
SPRING STREET GROCERY,MELBOURNE,31954456,157 SPRING STREET,null,3000,144.9725051,General Licence,1353,MELBOURNE,-37.81103853
EJ'S CATERING,MELBOURNE,32315362,44 SPENCER STREET,null,3000,144.9547605,Restaurant and cafe Licence,1360,MELBOURNE,-37.81976388
SWEET CANTEEN,MELBOURNE,31954464,3 DRIVER LANE,null,3000,144.9630553,General Licence,1364,MELBOURNE,-37.81293712
MR. FUSION,MELBOURNE,32315304,"SHOP 2-3, 540 LITTLE COLLINS STREET",null,3000,144.9567725,Restaurant and cafe Licence,1380,MELBOURNE,-37.8169535
CHICK-IN,MELBOURNE,32315566,"SHOP G23, 620 COLLINS STREET",null,3000,144.9543977,Restaurant and cafe Licence,1423,MELBOURNE,-37.81880868
DA DONG BEI,MELBOURNE,32315582,191 RUSSELL STREET,null,3000,144.9675418,Restaurant and cafe Licence,1430,MELBOURNE,-37.8120284
PHO FLINDER PLUS,MELBOURNE,32316148,"SHOP 2, 294 FLINDERS STREET",null,3000,144.9644157,Restaurant and cafe Licence,1446,MELBOURNE,-37.81815434
DINER ON FRANKLIN,MELBOURNE,32316059,1 / 245 FRANKLIN STREET,null,3000,144.9566405,Restaurant and cafe Licence,1466,MELBOURNE,-37.80954719
SIMPLY SPANISH,MELBOURNE,32317097,10/555 BOURKE STREET,null,3000,144.9573181,Restaurant and cafe Licence,1488,MELBOURNE,-37.81617883
FAMISH'D,MELBOURNE,32315930,8/555 BOURKE STREET,null,3000,144.9572954,Restaurant and cafe Licence,1500,MELBOURNE,-37.81615179
YAMATO JAPANESE RESTAURANT,MELBOURNE,32315914,28 CORRS LANE,null,3000,144.9681782,Restaurant and cafe Licence,1504,MELBOURNE,-37.81090231
PASTUSO,MELBOURNE,32319900,RESTAURANT TENANCY,"LOT 2, 19 AC DC LANE",3000,144.9708339,Restaurant and cafe Licence,1519,MELBOURNE,-37.81559722
PACIFIC BBQ CAFE,MELBOURNE,32317005,213-215 LONSDALE STREET,null,3000,144.9660997,Restaurant and cafe Licence,1522,MELBOURNE,-37.81135225
PHO24 WESTSIDE,MELBOURNE,32316889,220-240 SPENCER STREET,null,3000,144.952923,Restaurant and cafe Licence,1570,MELBOURNE,-37.81573569
SPIN COFFEE,MELBOURNE,32318629,TENANCY 11,535 - 555 BOURKE STREET,3000,144.9580334,Restaurant and cafe Licence,1603,MELBOURNE,-37.81662958
SACRED ALLEY ESPRESSO BAR,MELBOURNE,32317364,12 EQUITABLE PLACE,null,3000,144.9633491,Restaurant and cafe Licence,1632,MELBOURNE,-37.81595557
MOMOTEA,MELBOURNE,32318077,64 LA TROBE STREET,null,3000,144.9669642,Restaurant and cafe Licence,1669,MELBOURNE,-37.80836115
DONBURI & BBQ,MELBOURNE,32317453,SHOP 4 FOOD COURT,108 BOURKE STREET,3000,144.9698472,On-Premises Licence,1672,MELBOURNE,-37.81204702
DONBURI & BBQ,MELBOURNE,36132180,SHOP 4 FOOD COURT,108 BOURKE STREET,3000,144.9698927,Limited Licence,1673,MELBOURNE,-37.81205604
WING LOONG RESTAURANT,MELBOURNE,32317275,510-512 ELIZABETH STREET,null,3000,144.9601171,Restaurant and cafe Licence,1684,MELBOURNE,-37.80673726
THE TABU VODKA CO,MELBOURNE,36131956,"LEVEL 2, 120 KING STREET",null,3000,144.9562727,Limited Licence,1691,MELBOURNE,-37.81705243
SHERATON MELBOURNE,MELBOURNE,31954600,27 LITTLE COLLINS STREET,null,3000,144.9726748,General Licence,1696,MELBOURNE,-37.81289464
PILGRIM BAR,MELBOURNE,32318289,"VAULTS 15-19 FEDERATION WHARF,",FEDERATION SQUARE,3000,144.9689132,On-Premises Licence,1699,MELBOURNE,-37.81869619
DAVID JONES,MELBOURNE,36132669,ADMINISTRATION OFFICE DAVID JONES LIMITED,310 BOURKE STREET,3000,144.9646677,Limited Licence,1701,MELBOURNE,-37.81358633
DEGANI @ CROWN,SOUTHBANK,32317908,SHOP 49 CROWN ENTERTAINMENT COMPLEX,"LEVEL 1, 8 WHITEMAN STREET",3006,144.9601315,Restaurant and cafe Licence,1702,MELBOURNE,-37.82245978
THE HUMBLE TUMBLER,MELBOURNE,36132685,3F/131 LONSDALE STREET,null,3000,144.9683941,Limited Licence,1730,MELBOURNE,-37.81069514
THE BUTCHERS DINER,MELBOURNE,32317819,10 BOURKE STREET,null,3000,144.9725732,Restaurant and cafe Licence,1738,MELBOURNE,-37.8112638
OHSSO,MELBOURNE,32318611,26-28 HARDWARE LANE,null,3000,144.9616577,Restaurant and cafe Licence,1760,MELBOURNE,-37.81422512
GYOZA GYOZA,MELBOURNE,32317827,115-117 LITTLE BOURKE STREET,null,3000,144.9689843,Restaurant and cafe Licence,1763,MELBOURNE,-37.8115062
ORIENTAL SPOON ON ELIZABETH,MELBOURNE,32318239,291 ELIZABETH STREET,null,3000,144.9617839,Restaurant and cafe Licence,1783,MELBOURNE,-37.81174739
MAD MEX SOUTHERN CROSS STATION,DOCKLANDS,32318970,99 SPENCER STREET,null,3008,144.9532051,Restaurant and cafe Licence,1809,MELBOURNE,-37.81882624
PHO NOM,MELBOURNE,32318849,"TENANCY LG - 033, LOWER GROUND LEVEL","EMPORIUM MELBOURNE, LONSDALE STREET",3000,144.9636235,Restaurant and cafe Licence,1838,MELBOURNE,-37.81216243
RAMENYA/1000WAT,MELBOURNE,32320993,TENANCY LG-010 & LG-011 LOWER GROUND LEVEL,"EMPORIUM MELBOURNE, LONSDALE",3000,144.9635667,Restaurant and cafe Licence,1839,MELBOURNE,-37.81234261
GUZMAN Y GOMEZ EMPORIUM MELBOURNE,MELBOURNE,36132952,"TENANCY T3 - 022, LEVEL 3","EMPORIUM MELBOURNE, LONSDALE STREET",3000,144.9636917,Limited Licence,1841,MELBOURNE,-37.81218047
OPERATOR25,MELBOURNE,32318815,G03/25 WILLS STREET,null,3000,144.9567874,Restaurant and cafe Licence,1861,MELBOURNE,-37.81080865
CHERRY & TWIGS,MELBOURNE,32318784,SHOP 1B/555 FLINDERS LANE,null,3000,144.955794,Restaurant and cafe Licence,1869,MELBOURNE,-37.81991744
ALCHEMIST'S REFUGE,MELBOURNE,36133013,328 LITTLE LONSDALE STREET,null,3000,144.9599328,Limited Licence,1906,MELBOURNE,-37.8116657
SCHNITZ - CROWN CASINO,SOUTHBANK,32319227,"SHOP 109, FIRST FLOOR FOOD COURT","CROWN ENTERTAINMENT COMPLEX, 8 WHITEMAN STREET",3006,144.9593023,Restaurant and cafe Licence,1915,MELBOURNE,-37.82251356
POK POK JUNIOR,MELBOURNE,32319887,9/555 BOURKE STREET,null,3000,144.9573068,Restaurant and cafe Licence,1929,MELBOURNE,-37.81617882
JING JAI THAI,MELBOURNE,32319235,271 FLINDERS LANE,null,3000,144.9654384,Restaurant and cafe Licence,1930,MELBOURNE,-37.81702839
BOWERY TO WILLIAMSBURG (OLIVER LANE),MELBOURNE,32319340,16 OLIVER LANE,null,3000,144.9702204,Restaurant and cafe Licence,1941,MELBOURNE,-37.8161647
ZHAN BEERS,MELBOURNE,32319552,GROUND FLOOR,474 LITTLE LONSDALE STREET,3000,144.9554233,Restaurant and cafe Licence,1958,MELBOURNE,-37.81304265
ROSSLYN PIZZERIA,WEST MELBOURNE,36133526,56 ROSSLYN STREET,null,3003,144.9524512,Limited Licence,1960,MELBOURNE,-37.8075724
MYCANTINA,SOUTHBANK,36133160,1504/7 RIVERSIDE QUAY,null,3006,144.9644596,Limited Licence,1961,MELBOURNE,-37.82148806
LIQUOR N THINGS,MELBOURNE,32064937,SHOP 3,7 EXHIBITION STREET,3000,144.9720604,Packaged Liquor Licence,1972,MELBOURNE,-37.81584079
SIMPLY SPANISH,MELBOURNE,32319730,513 ELIZABETH STREET,null,3000,144.9595038,Restaurant and cafe Licence,1975,MELBOURNE,-37.80695329
PEGASUS APART' HOTEL,MELBOURNE,32319497,206 A'BECKETT STREET,null,3000,144.9571058,Restaurant and cafe Licence,1976,MELBOURNE,-37.81013301
RED CLIFF CHINESE RESTAURANT,MELBOURNE,32319803,RED CLIFF CHINESE RESTAURANT,"GROUND FLOOR, T1, 256 QUEEN STREET",3000,144.9598756,Restaurant and cafe Licence,1993,MELBOURNE,-37.8124946
BEEF NOODLE BAR LA TROBE,MELBOURNE,32319502,SHOP 5 MT ARGUS BUILDING,284-294 LA TROBE STREET,3000,144.9609436,Restaurant and cafe Licence,1994,MELBOURNE,-37.8102198
YANG'S DUMPLING 3000,MELBOURNE,32319609,229 EXHIBITION STREET,null,3000,144.969632,Restaurant and cafe Licence,2000,MELBOURNE,-37.8105513
DOSA CORNER,MELBOURNE,32319845,169 KING STREET,null,3000,144.9553305,Restaurant and cafe Licence,2008,MELBOURNE,-37.81627722
IN A RUSH CAFE,MELBOURNE,32321541,SHOP 2,390 LITTLE COLLINS STREET,3000,144.9617819,Restaurant and cafe Licence,2010,MELBOURNE,-37.81566676
GLOBE ALLEY PTY LTD,MELBOURNE,32320105,"LEVEL 1, 230 SWANSTON STREET",null,3000,144.9653497,On-Premises Licence,2022,MELBOURNE,-37.81232512
PAPERBOY KITCHEN,MELBOURNE,32319772,"SHOP 1, 320 LITTLE LONSDALE STREET",null,3000,144.9602849,Restaurant and cafe Licence,2027,MELBOURNE,-37.81160274
CRUST GOURMET PIZZA BAR MELBOURNE CBD,MELBOURNE,32319976,"SHOP 1, 377 LONSDALE STREET",null,3000,144.9614313,Restaurant and cafe Licence,2038,MELBOURNE,-37.81279245
METRO BURGERS,MELBOURNE,32319926,12 DEGRAVES STREET,null,3000,144.9659834,Restaurant and cafe Licence,2044,MELBOURNE,-37.8175331
CROWN ASIAN SUPERMARKET,MELBOURNE,32064911,"TENANCY 7,284-290 LATROBE STREET",null,3000,144.9608989,Packaged Liquor Licence,2062,MELBOURNE,-37.81018837
KOMEGASHI,WEST MELBOURNE,32323690,"SHOP 1,339 KING STREET",null,3003,144.9536406,Restaurant and cafe Licence,2068,MELBOURNE,-37.81235721
SOOL TONG,MELBOURNE,32320066,207 QUEEN STREET,null,3000,144.9599089,Restaurant and cafe Licence,2074,MELBOURNE,-37.81385513
CHUCKLE DELI,MELBOURNE,31954773,SHOP 5 HUB ARCADE,318-322 LITTLE COLLINS STREET,3000,144.9640765,General Licence,2078,MELBOURNE,-37.81498271
DA RIN,MELBOURNE,32320058,"GROUND FLOOR, 169 BOURKE STREET",null,3000,144.9685522,Restaurant and cafe Licence,2091,MELBOURNE,-37.81290264
MOVIDA WHOLESALE,MELBOURNE,36133762,"LEVEL 1, 3-5 HOSIER LANE",null,3000,144.9690277,Limited Licence,2100,MELBOURNE,-37.81647975
CRUST GOURMET PIZZA BAR MELBOURNE CBD,MELBOURNE,36133584,1/377 LONSDALE STREET,null,3000,144.9613973,Limited Licence,2120,MELBOURNE,-37.81273837
KORCHI 2,MELBOURNE,32320333,441-443 LITTLE BOURKE STREET,null,3000,144.9596702,Restaurant and cafe Licence,2126,MELBOURNE,-37.81430555
THAILANDER,MELBOURNE,32320171,425 LITTLE COLLINS STREET,null,3000,144.9605437,Restaurant and cafe Licence,2127,MELBOURNE,-37.816243
CHINA BAR,MELBOURNE,32320163,257-259 SWANSTON STREET,null,3000,144.9647366,Restaurant and cafe Licence,2129,MELBOURNE,-37.81208167
JOLLY J'S PTY LTD,MELBOURNE,32320197,TG22 GOLDSBROUGH LANE,550 BOURKE STREET,3000,144.9572276,Restaurant and cafe Licence,2131,MELBOURNE,-37.81554809
4FINGERS CRISPY CHICKEN,MELBOURNE,32320676,189-191 BOURKE STREET,null,3000,144.9677684,Restaurant and cafe Licence,2143,MELBOURNE,-37.8131367
LE CHARME DE SAIGON,MELBOURNE,32320456,SHOP 3,178 LITTLE BOURKE STREET,3000,144.9669399,Restaurant and cafe Licence,2145,MELBOURNE,-37.81185704
BODEGA UNDERGROUND,MELBOURNE,32321452,BASEMENT,47-55 LITTLE BOURKE STREET,3000,144.9711083,Restaurant and cafe Licence,2149,MELBOURNE,-37.81095711
TOKYO HOMETOWN,MELBOURNE,32065137,41-45 A'BECKETT STREET,null,3000,144.9622396,Packaged Liquor Licence,2154,MELBOURNE,-37.80901749
