premises_name, suburb, licence_no, address_1, address_2, postcode, long, licence_category, objectid, lga, lat
FRESCATIS FINE FOOD CAFE,MELBOURNE,32245787,469 LA TROBE STREET,null,3000,144.955211,Restaurant and cafe Licence,21038,MELBOURNE,-37.8123229
RENDEZVOUS HOTEL MELBOURNE,MELBOURNE,33122055,328 FLINDERS STREET,null,3000,144.963647,General Licence,21090,MELBOURNE,-37.818345
TROIKA BAR,MELBOURNE,31822235,106 LITTLE LONSDALE STREET,null,3000,144.968609,Late night (on-premises) Licence,21091,MELBOURNE,-37.809193
GRAND HOTEL,MELBOURNE,33121952,33 SPENCER STREET,null,3000,144.9542893,General Licence,21096,MELBOURNE,-37.82004641
RADISSON HOTEL ON FLAGSTAFF GARDENS,MELBOURNE,33121994,380 WILLIAM STREET,null,3000,144.9560377,Late night (general) Licence,21110,MELBOURNE,-37.81035466
RICE PAPER VIETNAMESE RESTAURANT,MELBOURNE,31822007,GROUND FLOOR,245 SWANSTON STREET,3000,144.9648114,Late night (on-premises) Licence,21114,MELBOURNE,-37.81225496
HELL'S KITCHEN,MELBOURNE,31822049,20 CENTRE PLACE,null,3000,144.9656432,On-Premises Licence,21144,MELBOURNE,-37.81671215
YUZU CAFE & CUISINE,MELBOURNE,32248620,480 COLLINS STREET,null,3000,144.9579755,Restaurant and cafe Licence,21155,MELBOURNE,-37.8177545
FLINDERS STATION HOTEL,MELBOURNE,33122209,GROUND & FIRST FLOORS,35 ELIZABETH STREET,3000,144.9643293,Late night (general) Licence,21193,MELBOURNE,-37.81740136
HOTEL IBIS LITTLE BOURKE STREET,MELBOURNE,33122021,600 LITTLE BOURKE STREET,null,3000,144.9546246,General Licence,21203,MELBOURNE,-37.81545395
SEAFOOD @ BOX,MELBOURNE,32246571,189 COLLINS STREET,null,3000,144.9676707,Late night (on-premises) Licence,21213,MELBOURNE,-37.81539488
GATEWAY SUITES MELBOURNE,MELBOURNE,33122039,1 WILLIAM STREET,null,3000,144.9596265,General Licence,21216,MELBOURNE,-37.81936909
DECOY,MELBOURNE,32245795,303 EXHIBITION STREET,null,3000,144.968812,Restaurant and cafe Licence,21227,MELBOURNE,-37.808845
CECCONI'S CANTINA,MELBOURNE,32246979,LOWER GROUND LEVEL,61 FLINDERS LANE,3000,144.972503,Restaurant and cafe Licence,21239,MELBOURNE,-37.814985
MANTRA ON LITTLE BOURKE,MELBOURNE,33122097,471 LITTLE BOURKE STREET,null,3000,144.959041,General Licence,21245,MELBOURNE,-37.814469
LAURENT BAKERY,MELBOURNE,32246440,306 LITTLE COLLINS STREET,null,3000,144.964421,Restaurant and cafe Licence,21254,MELBOURNE,-37.814879
POLEPOLE BAR,MELBOURNE,31822489,FIRST & SECOND FLOORS,267 LITTLE COLLINS STREET,3000,144.965581,Late night (on-premises) Licence,21264,MELBOURNE,-37.814783
